"data","k","method","iter1","iter2","iter3","iter4","iter5","iter6","iter7","iter8","iter9","iter10","iter11","iter12","iter13","iter14","iter15","iter16","iter17","iter18","iter19","iter20","iter21","iter22","iter23","iter24","iter25","iter26","iter27","iter28","iter29","iter30","iter31","iter32","iter33","iter34","iter35","iter36","iter37","iter38","iter39","iter40","iter41","iter42","iter43","iter44","iter45","iter46","iter47","iter48","iter49","iter50","iter51","iter52","iter53","iter54","iter55","iter56","iter57","iter58","iter59","iter60","iter61","iter62","iter63","iter64","iter65","iter66","iter67","iter68","iter69","iter70","iter71","iter72","iter73","iter74","iter75","iter76","iter77","iter78","iter79","iter80","iter81","iter82","iter83","iter84","iter85","iter86","iter87","iter88","iter89","iter90","iter91","iter92","iter93","iter94","iter95","iter96","iter97","iter98","iter99","iter100","iter101"
"sla",5,"pn",-757265.571013868,-749644.308372533,-743574.721133993,-738094.921263551,-736466.855702816,-736076.692909356,-735979.425553865,-735941.180430707,-735922.592181712,-735914.415138823,-735911.220751396,-735908.889034739,-735907.333693488,-735906.375281217,-735905.630757921,-735904.804446986,-735904.305971978,-735904.078561984,-735903.951627134,-735903.861546406,-735903.797851276,-735903.755314212,-735903.720426391,-735903.680901415,-735903.638969059,-735903.595641797,-735903.546062798,-735903.497064152,-735903.4635221,-735903.441193969,-735903.424683722,-735903.411556917,-735903.400734963,-735903.392623594,-735903.387118686,-735903.38313713,-735903.379740525,-735903.376507829,-735903.373476364,-735903.370898495,-735903.368923454,-735903.367473272,-735903.366334227,-735903.365278998,-735903.364133378,-735903.36279024,-735903.361198119,-735903.359354851,-735903.357316703,-735903.355200834,-735903.353151659,-735903.351282178,-735903.34963727,-735903.348202543,-735903.346936813,-735903.345797392,-735903.344748179,-735903.343757126,-735903.342792021,-735903.341818973,-735903.340803777,-735903.339714672,-735903.338525417,-735903.337218382,-735903.335787468,-735903.334240083,-735903.332596417,-735903.330883274,-735903.329117917,-735903.327272293,-735903.325191224,-735903.322394949,-735903.317699359,-735903.309456812,-735903.29889625,-735903.290726286,-735903.286415613,-735903.284487157,-735903.28363465,-735903.283230721,-735903.283019179,-735903.282897317,-735903.282821773,-735903.282772463,-735903.282739026,-735903.28271558,-735903.28269854,-735903.282685621,-735903.282675327,-735903.282666654,-735903.282658923,-735903.282651658,-735903.282644526,-735903.282637278,-735903.282629731,-735903.282621741,-735903.282613197,-735903.282604011,-735903.282594124,-735903.282583496,-735903.282572121
"sla",5,"rec1_pn",-741368.185242429,-736062.424628279,-735965.831325274,-735931.980769001,-735917.726628278,-735910.694763899,-735908.072670509,-735906.500990803,-735905.469297416,-735904.865005205,-735904.521040765,-735904.240140206,-735904.071320078,-735903.985013818,-735903.909869469,-735903.837291811,-735903.781155723,-735903.737865325,-735903.700794079,-735903.673214603,-735903.655504211,-735903.640847552,-735903.620589117,-735903.581011768,-735903.499957165,-735903.44769629,-735903.433034699,-735903.421021588,-735903.408965882,-735903.399625368,-735903.391855376,-735903.383786159,-735903.375448806,-735903.367213133,-735903.358921024,-735903.350335821,-735903.341788767,-735903.334280322,-735903.328717827,-735903.325174222,-735903.323112548,-735903.321937857,-735903.321234239,-735903.320758372,-735903.320375626,-735903.320008923,-735903.319607146,-735903.319124776,-735903.318503043,-735903.317640719,-735903.316330555,-735903.31409083,-735903.309662797,-735903.299771297,-735903.281406497,-735903.266713631,-735903.262039059,-735903.260873086,-735903.260407927,-735903.260061204,-735903.259731976,-735903.259405721,-735903.259081856,-735903.25876159,-735903.258446595,-735903.258139283,-735903.257842897,-735903.257561114,-735903.257297277,-735903.257053565,-735903.256830419,-735903.256626442,-735903.256438768,-735903.256263752,-735903.256097781,-735903.255938038,-735903.255783096,-735903.255633191,-735903.255490106,-735903.255356613,-735903.255235633,-735903.25512934,-735903.255038565,-735903.25496268,-735903.254899939,-735903.254848051,-735903.254804734,-735903.254768075,-735903.254736662,-735903.254709541,-735903.25468608,-735903.254665824,-735903.254648385,-735903.254633389,-735903.254620468,-735903.254609275,-735903.254599503,-735903.254590896,-735903.254583258,-735903.254576438,-735903.254570328
"sla",5,"rec2_pn",-755822.63533755,-750922.872477126,-748943.45755748,-746112.211555394,-739139.93608457,-736954.281434363,-736251.876206789,-736010.244553175,-735948.787185557,-735928.903140794,-735918.435297366,-735912.998639778,-735910.523231464,-735909.057055943,-735907.935701795,-735906.88848733,-735906.252515788,-735905.879018959,-735905.490738846,-735905.105195535,-735904.776501848,-735904.564319324,-735904.476582278,-735904.410190864,-735904.286992934,-735903.998130872,-735903.829109566,-735903.748027437,-735903.6984864,-735903.665014941,-735903.632511839,-735903.590482195,-735903.539981013,-735903.493298179,-735903.455574475,-735903.424501755,-735903.403678847,-735903.391449321,-735903.381709368,-735903.369764066,-735903.35155653,-735903.328646362,-735903.314222518,-735903.307596837,-735903.303508848,-735903.300432798,-735903.298093599,-735903.296293058,-735903.29478504,-735903.293392121,-735903.29204584,-735903.290752853,-735903.289549114,-735903.288466866,-735903.287517979,-735903.28669262,-735903.285967453,-735903.285315551,-735903.284713325,-735903.284143252,-735903.283593025,-735903.283052435,-735903.282510047,-735903.28195193,-735903.281363578,-735903.280734254,-735903.280061669,-735903.279354756,-735903.278633047,-735903.277922495,-735903.277249182,-735903.276633458,-735903.276086771,-735903.275611842,-735903.275205111,-735903.274859739,-735903.274567901,-735903.27432198,-735903.274114952,-735903.273940393,-735903.273792469,-735903.273666013,-735903.273556649,-735903.273460902,-735903.273376196,-735903.273300766,-735903.273233481,-735903.27317363,-735903.273120707,-735903.273074242,-735903.273033692,-735903.272998405,-735903.272967659,-735903.272940726,-735903.272916944,-735903.272895759,-735903.272876745,-735903.272859593,-735903.272844083,-735903.272830058,-735903.272817394
"sla",5,"rec12_pn",-739723.344894978,-736086.291712518,-735959.015016623,-735929.441881744,-735919.57369663,-735911.605331286,-735907.954009534,-735906.526268171,-735905.649186678,-735904.946928033,-735904.518929494,-735904.132174397,-735903.942103023,-735903.83693323,-735903.779126471,-735903.746209378,-735903.721944588,-735903.694701011,-735903.657600748,-735903.620014674,-735903.596128398,-735903.583647297,-735903.575582096,-735903.56743827,-735903.555205819,-735903.531606784,-735903.480892522,-735903.398773927,-735903.368795753,-735903.365024338,-735903.363977717,-735903.363313246,-735903.362768658,-735903.362296742,-735903.361881566,-735903.361506916,-735903.361157523,-735903.360826403,-735903.360517909,-735903.360240967,-735903.35999613,-735903.359769861,-735903.359540788,-735903.359288863,-735903.359000151,-735903.358667794,-735903.358291765,-735903.357878326,-735903.357438855,-735903.356987601,-735903.356538409,-735903.356100923,-735903.355677231,-735903.355260196,-735903.354834092,-735903.354376675,-735903.353860989,-735903.353255568,-735903.352522282,-735903.35161028,-735903.35044072,-735903.348866357,-735903.346557815,-735903.342661701,-735903.334818475,-735903.3187495,-735903.300562802,-735903.292985848,-735903.291136573,-735903.290642263,-735903.290440629,-735903.290322935,-735903.290243068,-735903.29018606,-735903.29014434,-735903.29011311,-735903.290089134,-735903.290070198,-735903.290054779,-735903.290041818,-735903.290030545,-735903.290020353,-735903.290010677,-735903.29000086,-735903.289989951,-735903.289976362,-735903.289957226,-735903.289927154,-735903.289875724,-735903.289782262,-735903.289604364,-735903.289251086,-735903.288516457,-735903.286917271,-735903.283418798,-735903.276785265,-735903.26818007,-735903.261353559,-735903.257653987,-735903.25601788,-735903.255351215
"sla",5,"rec",-792660.817996907,-736143.821425647,-735946.614894954,-735921.819224821,-735911.537018745,-735907.378741597,-735905.606215986,-735904.906928265,-735904.537511259,-735904.219295759,-735904.007074049,-735903.855816842,-735903.760813559,-735903.684503491,-735903.628789918,-735903.5769613,-735903.520550959,-735903.471363899,-735903.435678802,-735903.405582354,-735903.375862674,-735903.351449054,-735903.333687481,-735903.320220105,-735903.309379464,-735903.300244258,-735903.29200373,-735903.28466257,-735903.279189651,-735903.275845647,-735903.273812056,-735903.272315855,-735903.271047839,-735903.270054767,-735903.26936969,-735903.268867119,-735903.26842166,-735903.267966383,-735903.267468777,-735903.266922722,-735903.26635751,-735903.265830296,-735903.265385076,-735903.265022704,-735903.264716945,-735903.264441998,-735903.264181912,-735903.263928153,-735903.263675914,-735903.263422232,-735903.263165437,-735903.262905147,-735903.262642304,-735903.262379007,-735903.262118081,-735903.261862476,-735903.261614681,-735903.261376332,-735903.261148105,-735903.260929865,-735903.260720949,-735903.260520454,-735903.26032747,-735903.260141215,-735903.259961084,-735903.259786632,-735903.259617496,-735903.259453306,-735903.259293599,-735903.259137778,-735903.258985144,-735903.258834988,-735903.258686737,-735903.258540095,-735903.258395127,-735903.258252248,-735903.258112087,-735903.257975306,-735903.257842412,-735903.257713667,-735903.257589083,-735903.257468499,-735903.25735168,-735903.257238411,-735903.257128572,-735903.257022198,-735903.256919513,-735903.256820926,-735903.256726987,-735903.256638297,-735903.256555397,-735903.256478672,-735903.256408285,-735903.256344171,-735903.256286076,-735903.256233613,-735903.256186329,-735903.256143749,-735903.256105413,-735903.256070883,-735903.256039757
"sla",5,"vanila",-792660.817996907,-736143.821425647,-735946.614894954,-735921.819224821,-735911.537018745,-735907.378741597,-735905.606215986,-735904.906928265,-735904.537511259,-735904.219295759,-735904.007074049,-735903.855816842,-735903.760813559,-735903.684503491,-735903.628789918,-735903.5769613,-735903.520550959,-735903.471363899,-735903.435678802,-735903.405582354,-735903.375862674,-735903.351449054,-735903.333687481,-735903.320220105,-735903.309379464,-735903.300244258,-735903.29200373,-735903.28466257,-735903.279189651,-735903.275845647,-735903.273812056,-735903.272315855,-735903.271047839,-735903.270054767,-735903.26936969,-735903.268867119,-735903.26842166,-735903.267966383,-735903.267468777,-735903.266922722,-735903.26635751,-735903.265830296,-735903.265385076,-735903.265022704,-735903.264716945,-735903.264441998,-735903.264181912,-735903.263928153,-735903.263675914,-735903.263422232,-735903.263165437,-735903.262905147,-735903.262642304,-735903.262379007,-735903.262118081,-735903.261862476,-735903.261614681,-735903.261376332,-735903.261148105,-735903.260929865,-735903.260720949,-735903.260520454,-735903.26032747,-735903.260141215,-735903.259961084,-735903.259786632,-735903.259617496,-735903.259453306,-735903.259293599,-735903.259137778,-735903.258985144,-735903.258834988,-735903.258686737,-735903.258540095,-735903.258395127,-735903.258252248,-735903.258112087,-735903.257975306,-735903.257842412,-735903.257713667,-735903.257589083,-735903.257468499,-735903.25735168,-735903.257238411,-735903.257128572,-735903.257022198,-735903.256919513,-735903.256820926,-735903.256726987,-735903.256638297,-735903.256555397,-735903.256478672,-735903.256408285,-735903.256344171,-735903.256286076,-735903.256233613,-735903.256186329,-735903.256143749,-735903.256105413,-735903.256070883,-735903.256039757
"sla",5,"nndsvd",-766860.181783525,-737009.230804017,-736163.462554701,-736023.811722084,-735964.485398492,-735938.291194461,-735926.777376825,-735919.116131339,-735914.033007562,-735910.83247752,-735909.182332876,-735907.931023886,-735906.993609696,-735906.24247914,-735905.601437889,-735905.011389281,-735904.65139876,-735904.462555842,-735904.290742985,-735904.163800797,-735904.095039847,-735904.039292499,-735903.987848583,-735903.935861496,-735903.886637761,-735903.843292519,-735903.796394646,-735903.737196914,-735903.687941712,-735903.656567807,-735903.63409577,-735903.6159761,-735903.599373704,-735903.582810641,-735903.565963463,-735903.548047833,-735903.525820153,-735903.496286663,-735903.467144178,-735903.441612847,-735903.42348991,-735903.413939084,-735903.40839613,-735903.404606988,-735903.401735545,-735903.399417086,-735903.397490151,-735903.3958867,-735903.39455686,-735903.393435048,-735903.392447697,-735903.391534492,-735903.39065979,-735903.38981061,-735903.388987455,-735903.388194404,-735903.387432102,-735903.386694889,-735903.385971533,-735903.385248014,-735903.384510599,-735903.383748079,-735903.382952914,-735903.382121499,-735903.381253517,-735903.380349985,-735903.379409638,-735903.378423416,-735903.377365677,-735903.376177121,-735903.374725767,-735903.372706612,-735903.369352032,-735903.362579547,-735903.348081524,-735903.329274394,-735903.320340237,-735903.318096621,-735903.317489881,-735903.317191566,-735903.316946414,-735903.316707008,-735903.316465166,-735903.316221855,-735903.315981551,-735903.315750317,-735903.315534129,-735903.315337371,-735903.315161988,-735903.315007531,-735903.314871856,-735903.31475195,-735903.314644476,-735903.314545838,-735903.314451697,-735903.314355812,-735903.314247725,-735903.314108037,-735903.313898129,-735903.313536262,-735903.312838619
"sla",5,"random",-793106.746834305,-749823.607622559,-742526.361859677,-736512.975136172,-736026.946709188,-735951.765546072,-735927.536914717,-735916.300567941,-735911.436157726,-735908.08037676,-735906.773686696,-735905.831452676,-735905.022761801,-735904.564108801,-735904.27924827,-735904.093665513,-735903.928844583,-735903.775864716,-735903.668690827,-735903.603257373,-735903.556950485,-735903.512909536,-735903.479635007,-735903.459212524,-735903.444296853,-735903.429902824,-735903.41279261,-735903.392270087,-735903.375780629,-735903.366206042,-735903.360510196,-735903.356731296,-735903.353523012,-735903.350260926,-735903.346890172,-735903.343587932,-735903.340467994,-735903.337546823,-735903.334849949,-735903.332425909,-735903.330285375,-735903.328359863,-735903.326542703,-735903.324770968,-735903.323058747,-735903.321471396,-735903.320083538,-735903.318947771,-735903.318077811,-735903.317447057,-735903.317002374,-735903.316683884,-735903.316439436,-735903.316230079,-735903.316029626,-735903.315822327,-735903.31560082,-735903.315364666,-735903.315118923,-735903.314872146,-735903.314633786,-735903.31441167,-735903.314210476,-735903.314031662,-735903.313874499,-735903.313737375,-735903.313618687,-735903.31351708,-735903.31343124,-735903.313359594,-735903.313300178,-735903.313250734,-735903.313208965,-735903.313172807,-735903.313140617,-735903.313111245,-735903.313084007,-735903.313058574,-735903.313034837,-735903.313012765,-735903.312992287,-735903.312973223,-735903.312955252,-735903.312937915,-735903.312920643,-735903.312902775,-735903.312883581,-735903.312862261,-735903.312837919,-735903.312809533,-735903.312775887,-735903.312735489,-735903.312686442,-735903.312626268,-735903.312551634,-735903.31245793,-735903.312338588,-735903.312183917,-735903.311979056,-735903.311700122,-735903.311306507
"sla",10,"pn",-718928.120666885,-704470.741491809,-701112.758196888,-700831.983080627,-700772.856803657,-700748.954820376,-700734.872674237,-700725.76459261,-700721.205458398,-700718.735174894,-700717.450571027,-700716.239822925,-700715.510658024,-700714.908427157,-700714.502180879,-700714.229213473,-700713.876010191,-700713.433558162,-700713.175136201,-700712.999271003,-700712.906902855,-700712.840896993,-700712.773909535,-700712.724843835,-700712.677986681,-700712.64296654,-700712.61872281,-700712.598004567,-700712.579731788,-700712.561680006,-700712.541616656,-700712.515584299,-700712.480648595,-700712.452356707,-700712.43363199,-700712.420598769,-700712.411021622,-700712.403460097,-700712.396961363,-700712.391166755,-700712.386159029,-700712.381996248,-700712.378397998,-700712.374998526,-700712.371441905,-700712.367038798,-700712.359540648,-700712.343408775,-700712.327361642,-700712.318167591,-700712.305923638,-700712.287407474,-700712.271440074,-700712.263427979,-700712.258344519,-700712.254644489,-700712.252029628,-700712.25018844,-700712.248834122,-700712.247771943,-700712.246885845,-700712.246107804,-700712.245396779,-700712.244728174,-700712.244088907,-700712.243474593,-700712.242887308,-700712.242333467,-700712.241821595,-700712.241359953,-700712.240954287,-700712.240606249,-700712.240313037,-700712.240068289,-700712.239863705,-700712.239690663,-700712.23954132,-700712.239409114,-700712.239288815,-700712.239176363,-700712.23906862,-700712.238963142,-700712.23885798,-700712.23875152,-700712.238642373,-700712.238529317,-700712.238411341,-700712.238287841,-700712.238158982,-700712.238026121,-700712.237891972,-700712.237760168,-700712.237634207,-700712.237516352,-700712.237407217,-700712.237306126,-700712.237211774,-700712.237122707,-700712.237037525,-700712.236954896,-700712.236873532
"sla",10,"rec1_pn",-709753.715940856,-700988.38055123,-700800.129213406,-700754.677989503,-700737.110631415,-700727.360704472,-700721.71770954,-700718.332647664,-700716.599664148,-700715.424327253,-700714.742497967,-700714.382853118,-700714.070373309,-700713.786164216,-700713.560623404,-700713.389552751,-700713.253424392,-700713.125310815,-700713.029882676,-700712.964714734,-700712.903204598,-700712.842950399,-700712.75239609,-700712.647333225,-700712.600125023,-700712.570515463,-700712.54881395,-700712.530560991,-700712.510614109,-700712.486837228,-700712.465288353,-700712.437382916,-700712.332331773,-700712.316469787,-700712.305679022,-700712.295572998,-700712.288675641,-700712.284564909,-700712.281603038,-700712.278789062,-700712.275319788,-700712.269115171,-700712.251336988,-700712.20735424,-700712.182262165,-700712.175514438,-700712.170636773,-700712.16594074,-700712.161927934,-700712.158893622,-700712.156721507,-700712.15515103,-700712.153956394,-700712.152985181,-700712.152146107,-700712.151390143,-700712.150694184,-700712.150048775,-700712.149450279,-700712.148896874,-700712.14838713,-700712.147919888,-700712.147494426,-700712.147110245,-700712.146766352,-700712.146460417,-700712.146188476,-700712.145945556,-700712.145726908,-700712.145529057,-700712.14534999,-700712.145188507,-700712.145043219,-700712.144911826,-700712.144790959,-700712.144676462,-700712.14456386,-700712.144448737,-700712.14432695,-700712.144194686,-700712.144048426,-700712.143884878,-700712.143700905,-700712.143493443,-700712.143259406,-700712.14299553,-700712.142698117,-700712.142362629,-700712.141983051,-700712.141550929,-700712.141053915,-700712.140473553,-700712.139781902,-700712.138936477,-700712.137872971,-700712.136495947,-700712.134670557,-700712.132226527,-700712.129001415,-700712.124959242,-700712.120366756
