"data","k","method","iter1","iter2","iter3","iter4","iter5","iter6","iter7","iter8","iter9","iter10","iter11","iter12","iter13","iter14","iter15","iter16","iter17","iter18","iter19","iter20","iter21","iter22","iter23","iter24","iter25","iter26","iter27","iter28","iter29","iter30","iter31","iter32","iter33","iter34","iter35","iter36","iter37","iter38","iter39","iter40","iter41","iter42","iter43","iter44","iter45","iter46","iter47","iter48","iter49","iter50","iter51","iter52","iter53","iter54","iter55","iter56","iter57","iter58","iter59","iter60","iter61","iter62","iter63","iter64","iter65","iter66","iter67","iter68","iter69","iter70","iter71","iter72","iter73","iter74","iter75","iter76","iter77","iter78","iter79","iter80","iter81","iter82","iter83","iter84","iter85","iter86","iter87","iter88","iter89","iter90","iter91","iter92","iter93","iter94","iter95","iter96","iter97","iter98","iter99","iter100","iter101"
"sla",5,"pn",-757265.571013868,-736001.110265684,-735903.515961507,-735903.33064355,-735903.255111156,-735903.254397663,-735903.254345536,-735903.254335992,-735903.254334067,-735903.254333632,-735903.254333523,-735903.254333492,-735903.254333484,-735903.254333481,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348
"sla",5,"rec1_pn",-741368.185242429,-735903.921379959,-735903.326353603,-735903.256700013,-735903.255364594,-735903.255019828,-735903.254779379,-735903.254574058,-735903.254394894,-735903.254333847,-735903.254333592,-735903.254333515,-735903.254333491,-735903.254333483,-735903.254333481,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348
"sla",5,"rec2_pn",-755822.63533755,-735961.908482964,-735903.467796745,-735903.310181129,-735903.254705696,-735903.254393419,-735903.254344642,-735903.25433578,-735903.254334011,-735903.254333617,-735903.254333518,-735903.254333491,-735903.254333483,-735903.254333481,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348
"sla",5,"rec12_pn",-739723.344894978,-735903.92586513,-735903.364945071,-735903.290760391,-735903.287859856,-735903.277310848,-735903.254354481,-735903.25433418,-735903.254333642,-735903.254333523,-735903.254333492,-735903.254333483,-735903.254333481,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348
"sla",5,"rec",-744998.203312872,-735904.454296344,-735903.399149304,-735903.268107404,-735903.259140167,-735903.258190431,-735903.257728864,-735903.257385432,-735903.257098563,-735903.256845863,-735903.256614961,-735903.256397448,-735903.256186716,-735903.255976932,-735903.255762368,-735903.255536818,-735903.255292931,-735903.255021317,-735903.254709201,-735903.254341605,-735903.254333509,-735903.254333485,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348
"sla",5,"vanila",-792660.817996907,-735906.111034958,-735903.483613963,-735903.317437176,-735903.262642675,-735903.258579187,-735903.257820168,-735903.257415922,-735903.257116086,-735903.256859886,-735903.25662764,-735903.2564095,-735903.256198546,-735903.255988874,-735903.255774758,-735903.255550033,-735903.255307435,-735903.255037724,-735903.254728367,-735903.254361403,-735903.254333513,-735903.254333485,-735903.254333481,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348,-735903.25433348
"sla",5,"nndsvd",-766860.181783525,-735906.230903677,-735903.396249849,-735903.317589192,-735903.307963952,-735903.296734306,-735903.274165872,-735903.274145393,-735903.274144569,-735903.274144411,-735903.274144377,-735903.274144369,-735903.274144367,-735903.274144366,-735903.274144366,-735903.274144366,-735903.274144366,-735903.274144366,-735903.274144366,-735903.274144366,-735903.274144366,-735903.274144366,-735903.274144366,-735903.274144366,-735903.274144366,-735903.274144366,-735903.274144366,-735903.274144366,-735903.274144366,-735903.274144366,-735903.274144366,-735903.274144366,-735903.274144366,-735903.274144366,-735903.274144366,-735903.274144366,-735903.274144366,-735903.274144366,-735903.274144366,-735903.274144366,-735903.274144366,-735903.274144366,-735903.274144366,-735903.274144366,-735903.274144366,-735903.274144366,-735903.274144366,-735903.274144366,-735903.274144366,-735903.274144366,-735903.274144366,-735903.274144366,-735903.274144366,-735903.274144366,-735903.274144366,-735903.274144366,-735903.274144366,-735903.274144366,-735903.274144366,-735903.274144366,-735903.274144366,-735903.274144366,-735903.274144366,-735903.274144366,-735903.274144366,-735903.274144366,-735903.274144366,-735903.274144366,-735903.274144366,-735903.274144366,-735903.274144366,-735903.274144366,-735903.274144366,-735903.274144366,-735903.274144366,-735903.274144366,-735903.274144366,-735903.274144366,-735903.274144366,-735903.274144366,-735903.274144366,-735903.274144366,-735903.274144366,-735903.274144366,-735903.274144366,-735903.274144366,-735903.274144366,-735903.274144366,-735903.274144366,-735903.274144366,-735903.274144366,-735903.274144366,-735903.274144366,-735903.274144366,-735903.274144366,-735903.274144366,-735903.274144366,-735903.274144366,-735903.274144366,-735903.274144366,-735903.274144366
"sla",5,"random",-793106.746834305,-735984.0684418,-735903.580121933,-735903.361702994,-735903.301129064,-735903.299814084,-735903.299511921,-735903.299496515,-735903.299493879,-735903.299493373,-735903.299493267,-735903.299493242,-735903.299493236,-735903.299493234,-735903.299493234,-735903.299493234,-735903.299493234,-735903.299493234,-735903.299493234,-735903.299493234,-735903.299493234,-735903.299493234,-735903.299493234,-735903.299493234,-735903.299493234,-735903.299493234,-735903.299493234,-735903.299493234,-735903.299493234,-735903.299493234,-735903.299493234,-735903.299493234,-735903.299493234,-735903.299493234,-735903.299493234,-735903.299493234,-735903.299493234,-735903.299493234,-735903.299493234,-735903.299493234,-735903.299493234,-735903.299493234,-735903.299493234,-735903.299493234,-735903.299493234,-735903.299493234,-735903.299493234,-735903.299493234,-735903.299493234,-735903.299493234,-735903.299493234,-735903.299493234,-735903.299493234,-735903.299493234,-735903.299493234,-735903.299493234,-735903.299493234,-735903.299493234,-735903.299493234,-735903.299493234,-735903.299493234,-735903.299493234,-735903.299493234,-735903.299493234,-735903.299493234,-735903.299493234,-735903.299493234,-735903.299493234,-735903.299493234,-735903.299493234,-735903.299493234,-735903.299493234,-735903.299493234,-735903.299493234,-735903.299493234,-735903.299493234,-735903.299493234,-735903.299493234,-735903.299493234,-735903.299493234,-735903.299493234,-735903.299493234,-735903.299493234,-735903.299493234,-735903.299493234,-735903.299493234,-735903.299493234,-735903.299493234,-735903.299493234,-735903.299493234,-735903.299493234,-735903.299493234,-735903.299493234,-735903.299493234,-735903.299493234,-735903.299493234,-735903.299493234,-735903.299493234,-735903.299493234,-735903.299493234,-735903.299493234
"sla",10,"pn",-718928.120666885,-700717.693685032,-700712.535007302,-700712.357556319,-700712.261492241,-700712.228933838,-700712.224703329,-700712.224413539,-700712.224132569,-700712.223840008,-700712.223519924,-700712.223152797,-700712.222711236,-700712.222153854,-700712.22141449,-700712.220381754,-700712.218857922,-700712.216487256,-700712.215313803,-700712.215304998,-700712.215298378,-700712.215293121,-700712.21528888,-700712.215285432,-700712.215282617,-700712.215280314,-700712.215278429,-700712.215276883,-700712.215275617,-700712.21527458,-700712.21527373,-700712.215273033,-700712.215272463,-700712.215271996,-700712.215271613,-700712.2152713,-700712.215271044,-700712.215270834,-700712.215270663,-700712.215270522,-700712.215270407,-700712.215270313,-700712.215270236,-700712.215270174,-700712.215270122,-700712.21527008,-700712.215270046,-700712.215270018,-700712.215269995,-700712.215269976,-700712.215269961,-700712.215269948,-700712.215269938,-700712.215269929,-700712.215269923,-700712.215269917,-700712.215269912,-700712.215269909,-700712.215269906,-700712.215269903,-700712.215269901,-700712.215269899,-700712.215269898,-700712.215269897,-700712.215269896,-700712.215269895,-700712.215269895,-700712.215269894,-700712.215269894,-700712.215269893,-700712.215269893,-700712.215269893,-700712.215269893,-700712.215269893,-700712.215269892,-700712.215269892,-700712.215269892,-700712.215269892,-700712.215269892,-700712.215269892,-700712.215269892,-700712.215269892,-700712.215269892,-700712.215269892,-700712.215269892,-700712.215269892,-700712.215269892,-700712.215269892,-700712.215269892,-700712.215269892,-700712.215269892,-700712.215269892,-700712.215269892,-700712.215269892,-700712.215269892,-700712.215269892,-700712.215269892,-700712.215269892,-700712.215269892,-700712.215269892,-700712.215269892
"sla",10,"rec1_pn",-709753.715940856,-700713.677645953,-700712.328062602,-700712.223064846,-700712.12657359,-700712.109125088,-700712.095883297,-700712.08860463,-700712.088410694,-700712.088278053,-700712.08817781,-700712.088098518,-700712.088034369,-700712.087981915,-700712.087938819,-700712.087903349,-700712.087874141,-700712.087850097,-700712.087830314,-700712.08781405,-700712.087800688,-700712.087789719,-700712.087780721,-700712.087773346,-700712.087767305,-700712.08776236,-700712.087758315,-700712.087755007,-700712.087752305,-700712.087750097,-700712.087748295,-700712.087746825,-700712.087745626,-700712.087744649,-700712.087743852,-700712.087743203,-700712.087742675,-700712.087742244,-700712.087741894,-700712.087741609,-700712.087741377,-700712.087741188,-700712.087741034,-700712.087740909,-700712.087740808,-700712.087740725,-700712.087740658,-700712.087740603,-700712.087740559,-700712.087740523,-700712.087740493,-700712.08774047,-700712.08774045,-700712.087740434,-700712.087740422,-700712.087740411,-700712.087740403,-700712.087740396,-700712.08774039,-700712.087740386,-700712.087740382,-700712.087740379,-700712.087740377,-700712.087740375,-700712.087740373,-700712.087740372,-700712.087740371,-700712.08774037,-700712.087740369,-700712.087740369,-700712.087740368,-700712.087740368,-700712.087740367,-700712.087740367,-700712.087740367,-700712.087740367,-700712.087740367,-700712.087740367,-700712.087740366,-700712.087740366,-700712.087740366,-700712.087740366,-700712.087740366,-700712.087740366,-700712.087740366,-700712.087740366,-700712.087740366,-700712.087740366,-700712.087740366,-700712.087740366,-700712.087740366,-700712.087740366,-700712.087740366,-700712.087740366,-700712.087740366,-700712.087740366,-700712.087740366,-700712.087740366,-700712.087740366,-700712.087740366,-700712.087740366
